"Path","Category","RuleName","Safety","Recommendation","SizeBytes","SizeText","FileCount","LastWriteTime","AgeDays","StaleAfterDays","Notes","CleanupAllowed","CleanupHint","Source"
"C:\Users\V_JINWKIM\AppData\Local\Temp\05131C08-5920-4A12-A61B-4C443D8AAC21","Temp","User Temp Items","SafeIfClosed","DeleteWhenAppClosed","1037631488","989.56 MB","4","2025-10-16 오후 1:34:05","222.2","14","General user temp files. Delete only when related apps are closed.","False","","Rule"
"C:\Users\V_JINWKIM\AppData\Local\Postman-Agent","TopLevelDiscovery","(discovery)","Review","Review","1000956041","954.59 MB","158","2026-04-03 오전 7:00:52","53.4","30","Top-level directory discovery item. Verify app ownership before deletion.","False","Manual review only","Discovery"
"C:\Users\V_JINWKIM\AppData\Local\Temp\Diagnostics","Temp","User Temp Items","SafeIfClosed","Watch","971840436","926.82 MB","316","2026-05-26 오후 5:41:17","0","14","General user temp files. Delete only when related apps are closed.","False","","Rule"
"C:\Users\V_JINWKIM\AppData\Local\slack","TopLevelDiscovery","(discovery)","Review","Watch","927251972","884.30 MB","377","2026-05-15 오전 3:32:07","11.6","30","Top-level directory discovery item. Verify app ownership before deletion.","False","Manual review only","Discovery"
"C:\Users\V_JINWKIM\AppData\Local\Temp\1ov3fogx","Temp","User Temp Items","SafeIfClosed","Watch","883628707","842.69 MB","76","2026-05-21 오전 6:04:52","5.5","14","General user temp files. Delete only when related apps are closed.","False","","Rule"
"C:\Users\V_JINWKIM\AppData\Local\Temp\2D00B82F-0A4B-4B91-A39A-2B6A22172BFB","Temp","User Temp Items","SafeIfClosed","DeleteWhenAppClosed","844038144","804.94 MB","4","2025-10-16 오후 4:19:20","222.1","14","General user temp files. Delete only when related apps are closed.","False","","Rule"
"C:\Users\V_JINWKIM\AppData\Local\Google\Chrome\User Data\Default\Code Cache","BrowserCache","Chrome Code Cache","SafeIfClosed","Watch","766752485","731.23 MB","5830","2026-05-26 오후 5:42:56","0","14","Chrome code cache. Close Chrome before cleanup.","False","","Rule"
"C:\Users\V_JINWKIM\AppData\Local\Microsoft\Edge\User Data\Default\Code Cache","BrowserCache","Edge Code Cache","SafeIfClosed","Watch","761225653","725.96 MB","14102","2026-05-26 오후 5:27:00","0","14","Edge code cache. Close Edge before cleanup.","False","","Rule"
"C:\Users\V_JINWKIM\AppData\Local\Temp\.net","Temp","User Temp Items","SafeIfClosed","DeleteWhenAppClosed","742250565","707.87 MB","2002","2026-05-07 오후 5:04:24","19","14","General user temp files. Delete only when related apps are closed.","False","","Rule"
"C:\Users\V_JINWKIM\AppData\Local\Adobe","TopLevelDiscovery","(discovery)","Review","Watch","689388591","657.45 MB","2813","2026-05-26 오후 2:04:24","0.2","30","Top-level directory discovery item. Verify app ownership before deletion.","False","Manual review only","Discovery"
