Recommendation,Safety,Category,RuleName,SizeBytes,SizeText,AgeDays,FileCount,LastWriteTime,Path,Notes,CleanupHint,Source
"Watch","Review","TopLevelDiscovery","(discovery)",79802425309,"74.32 GB",0.0,167944,"2026-06-08 13:26:47","C:\Users\V_JINWKIM\AppData\Local\Temp","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"Watch","Review","TopLevelDiscovery","(discovery)",16727010890,"15.58 GB",0.0,70275,"2026-06-08 13:26:07","C:\Users\V_JINWKIM\AppData\Local\Google","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"Watch","Review","TopLevelDiscovery","(discovery)",15957714197,"14.86 GB",0.0,125256,"2026-06-08 13:26:10","C:\Users\V_JINWKIM\AppData\Local\Microsoft","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"DeleteWhenAppClosed","SafeIfClosed","Temp","User Temp Items",12369953750,"11.52 GB",31.8,23,"2026-05-07 17:01:53","C:\Users\V_JINWKIM\AppData\Local\Temp\dh","General user temp files. Delete only after related apps are closed.","","Rule"
"DeleteSafe","Safe","DiagnosticReport","DiagnosticsHub Reports",11646927569,"10.85 GB",108.0,2,"2026-02-20 13:02:15","C:\Users\V_JINWKIM\AppData\Local\Temp\dh\Report.6E5842C9-4F54-4509-8B55-F0A5465C26D5","Visual Studio Diagnostics Hub report folders. Old profiling sessions can be removed.","Delete after confirming no active Visual Studio profiling session.","Rule"
"Watch","Review","TopLevelDiscovery","(discovery)",9953100341,"9.27 GB",4.5,27609,"2026-06-04 01:47:55","C:\Users\V_JINWKIM\AppData\Local\Programs","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"Watch","SafeIfClosed","Temp","User Temp Items",6561207296,"6.11 GB",6.1,857,"2026-06-02 10:59:34","C:\Users\V_JINWKIM\AppData\Local\Temp\VSTelem","General user temp files. Delete only after related apps are closed.","","Rule"
"Watch","SafeIfClosed","Temp","User Temp Items",5188731183,"4.83 GB",0.0,36706,"2026-06-08 13:25:46","C:\Users\V_JINWKIM\AppData\Local\Temp\Outlook Logging","General user temp files. Delete only after related apps are closed.","","Rule"
"Watch","Review","TopLevelDiscovery","(discovery)",5119265813,"4.77 GB",0.0,10306,"2026-06-08 13:26:11","C:\Users\V_JINWKIM\AppData\Local\Kakao","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"Watch","Review","TopLevelDiscovery","(discovery)",3703904656,"3.45 GB",0.1,38860,"2026-06-08 11:39:22","C:\Users\V_JINWKIM\AppData\Local\npm-cache","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"Watch","Review","TopLevelDiscovery","(discovery)",3498657634,"3.26 GB",0.0,25165,"2026-06-08 13:26:25","C:\Users\V_JINWKIM\AppData\Local\Packages","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"Watch","Review","TopLevelDiscovery","(discovery)",3440594683,"3.20 GB",0.3,2629,"2026-06-08 06:17:50","C:\Users\V_JINWKIM\AppData\Local\NuGet","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"Watch","SafeIfClosed","Temp","User Temp Items",2303314597,"2.15 GB",11.3,496,"2026-05-28 06:54:05","C:\Users\V_JINWKIM\AppData\Local\Temp\ar0jxmz2","General user temp files. Delete only after related apps are closed.","","Rule"
"Review","Review","TopLevelDiscovery","(discovery)",1979042044,"1.84 GB",33.0,5810,"2026-05-06 14:26:28","C:\Users\V_JINWKIM\AppData\Local\SquirrelTemp","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"DeleteWhenAppClosed","SafeIfClosed","Temp","User Temp Items",1970993693,"1.84 GB",91.2,43,"2026-03-09 07:35:37","C:\Users\V_JINWKIM\AppData\Local\Temp\tmp","General user temp files. Delete only after related apps are closed.","","Rule"
"Watch","Review","AppCache","UWP LocalCache",1676808736,"1.56 GB",0.0,8936,"2026-06-08 13:26:03","C:\Users\V_JINWKIM\AppData\Local\Packages\MSTeams_8wekyb3d8bbwe\LocalCache","Per-app cache. Review because some apps use this path for offline data.","","Rule"
"DeleteWhenAppClosed","SafeIfClosed","Temp","User Temp Items",1645424076,"1.53 GB",231.0,1096,"2025-10-20 13:37:58","C:\Users\V_JINWKIM\AppData\Local\Temp\WISE","General user temp files. Delete only after related apps are closed.","","Rule"
"DeleteWhenAppClosed","SafeIfClosed","Temp","User Temp Items",1421233912,"1.32 GB",47.3,1595,"2026-04-22 06:44:46","C:\Users\V_JINWKIM\AppData\Local\Temp\Studio","General user temp files. Delete only after related apps are closed.","","Rule"
"Watch","Review","TopLevelDiscovery","(discovery)",1395439554,"1.30 GB",0.0,18,"2026-06-08 12:42:34","C:\Users\V_JINWKIM\AppData\Local\Ollama","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"Watch","Review","TopLevelDiscovery","(discovery)",1323796155,"1.23 GB",7.1,4155,"2026-06-01 12:03:33","C:\Users\V_JINWKIM\AppData\Local\LINQPad","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"Watch","Review","TopLevelDiscovery","(discovery)",1163063596,"1.08 GB",12.3,1915,"2026-05-27 06:02:50","C:\Users\V_JINWKIM\AppData\Local\GitHubDesktop","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"Watch","Review","TopLevelDiscovery","(discovery)",1138342295,"1.06 GB",2.2,2127,"2026-06-06 08:03:16","C:\Users\V_JINWKIM\AppData\Local\AnthropicClaude","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"DeleteWhenAppClosed","SafeIfClosed","Temp","User Temp Items",1037631488,"989.56 MB",235.0,3,"2025-10-16 13:34:05","C:\Users\V_JINWKIM\AppData\Local\Temp\05131C08-5920-4A12-A61B-4C443D8AAC21","General user temp files. Delete only after related apps are closed.","","Rule"
"Review","Review","TopLevelDiscovery","(discovery)",1000956041,"954.59 MB",66.3,158,"2026-04-03 07:00:52","C:\Users\V_JINWKIM\AppData\Local\Postman-Agent","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"Watch","Review","TopLevelDiscovery","(discovery)",927251972,"884.30 MB",24.4,377,"2026-05-15 03:32:07","C:\Users\V_JINWKIM\AppData\Local\slack","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"DeleteWhenAppClosed","SafeIfClosed","Temp","User Temp Items",883628707,"842.69 MB",18.3,76,"2026-05-21 06:04:52","C:\Users\V_JINWKIM\AppData\Local\Temp\1ov3fogx","General user temp files. Delete only after related apps are closed.","","Rule"
"DeleteWhenAppClosed","SafeIfClosed","Temp","User Temp Items",844038144,"804.94 MB",234.9,3,"2025-10-16 16:19:20","C:\Users\V_JINWKIM\AppData\Local\Temp\2D00B82F-0A4B-4B91-A39A-2B6A22172BFB","General user temp files. Delete only after related apps are closed.","","Rule"
"Watch","SafeIfClosed","Temp","User Temp Items",805884971,"768.55 MB",0.0,269,"2026-06-08 13:21:15","C:\Users\V_JINWKIM\AppData\Local\Temp\Diagnostics","General user temp files. Delete only after related apps are closed.","","Rule"
"Watch","SafeIfClosed","BrowserCache","Chrome Code Cache",780071902,"743.93 MB",0.0,5826,"2026-06-08 13:25:56","C:\Users\V_JINWKIM\AppData\Local\Google\Chrome\User Data\Default\Code Cache","Chrome code cache. Close Chrome before cleanup.","","Rule"
"Watch","SafeIfClosed","BrowserCache","Edge Code Cache",772963572,"737.16 MB",0.1,15454,"2026-06-08 11:57:33","C:\Users\V_JINWKIM\AppData\Local\Microsoft\Edge\User Data\Default\Code Cache","Edge code cache. Close Edge before cleanup.","","Rule"
"DeleteWhenAppClosed","SafeIfClosed","Temp","User Temp Items",742250565,"707.87 MB",31.8,2002,"2026-05-07 17:04:24","C:\Users\V_JINWKIM\AppData\Local\Temp\.net","General user temp files. Delete only after related apps are closed.","","Rule"
"Watch","Review","TopLevelDiscovery","(discovery)",702887733,"670.33 MB",0.0,2884,"2026-06-08 13:22:22","C:\Users\V_JINWKIM\AppData\Local\Adobe","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"Watch","Review","TopLevelDiscovery","(discovery)",659848495,"629.28 MB",6.9,171,"2026-06-01 15:39:39","C:\Users\V_JINWKIM\AppData\Local\Channel","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"DeleteWhenAppClosed","SafeIfClosed","Temp","User Temp Items",615285590,"586.78 MB",91.3,3,"2026-03-09 07:07:49","C:\Users\V_JINWKIM\AppData\Local\Temp\WacTemp","General user temp files. Delete only after related apps are closed.","","Rule"
"Watch","Review","TopLevelDiscovery","(discovery)",584042244,"556.99 MB",3.2,870,"2026-06-05 07:33:34","C:\Users\V_JINWKIM\AppData\Local\pip","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"Watch","Review","TopLevelDiscovery","(discovery)",492580455,"469.76 MB",0.0,600,"2026-06-08 13:16:52","C:\Users\V_JINWKIM\AppData\Local\1Password","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
