Recommendation,Safety,Category,RuleName,SizeBytes,SizeText,AgeDays,FileCount,LastWriteTime,Path,Notes,CleanupHint,Source
"Watch","SafeIfClosed","Temp","User Temp Items",971840427,"926.82 MB",0.0,316,"2026-05-26 18:09:03","C:\Users\V_JINWKIM\AppData\Local\Temp\Diagnostics","General user temp files. Delete only after related apps are closed.","","Rule"
"Watch","Review","TopLevelDiscovery","(discovery)",927251972,"884.30 MB",11.6,377,"2026-05-15 03:32:07","C:\Users\V_JINWKIM\AppData\Local\slack","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"Watch","SafeIfClosed","Temp","User Temp Items",883628707,"842.69 MB",5.5,76,"2026-05-21 06:04:52","C:\Users\V_JINWKIM\AppData\Local\Temp\1ov3fogx","General user temp files. Delete only after related apps are closed.","","Rule"
"DeleteWhenAppClosed","SafeIfClosed","Temp","User Temp Items",844038144,"804.94 MB",222.1,3,"2025-10-16 16:19:20","C:\Users\V_JINWKIM\AppData\Local\Temp\2D00B82F-0A4B-4B91-A39A-2B6A22172BFB","General user temp files. Delete only after related apps are closed.","","Rule"
"Watch","SafeIfClosed","BrowserCache","Chrome Code Cache",767799761,"732.23 MB",0.0,5843,"2026-05-26 18:07:56","C:\Users\V_JINWKIM\AppData\Local\Google\Chrome\User Data\Default\Code Cache","Chrome code cache. Close Chrome before cleanup.","","Rule"
"Watch","SafeIfClosed","BrowserCache","Edge Code Cache",761917951,"726.62 MB",0.0,14103,"2026-05-26 18:11:03","C:\Users\V_JINWKIM\AppData\Local\Microsoft\Edge\User Data\Default\Code Cache","Edge code cache. Close Edge before cleanup.","","Rule"
"DeleteWhenAppClosed","SafeIfClosed","Temp","User Temp Items",742250565,"707.87 MB",19.0,2002,"2026-05-07 17:04:24","C:\Users\V_JINWKIM\AppData\Local\Temp\.net","General user temp files. Delete only after related apps are closed.","","Rule"
"Watch","Review","TopLevelDiscovery","(discovery)",689388591,"657.45 MB",0.2,2813,"2026-05-26 14:04:24","C:\Users\V_JINWKIM\AppData\Local\Adobe","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"Watch","Review","TopLevelDiscovery","(discovery)",659846899,"629.28 MB",11.3,171,"2026-05-15 10:41:37","C:\Users\V_JINWKIM\AppData\Local\Channel","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"DeleteWhenAppClosed","SafeIfClosed","Temp","User Temp Items",615285590,"586.78 MB",78.5,3,"2026-03-09 07:07:49","C:\Users\V_JINWKIM\AppData\Local\Temp\WacTemp","General user temp files. Delete only after related apps are closed.","","Rule"
"Watch","Review","TopLevelDiscovery","(discovery)",583908499,"556.86 MB",6.4,864,"2026-05-20 07:44:21","C:\Users\V_JINWKIM\AppData\Local\pip","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"DeleteSafe","Safe","DiagnosticReport","DiagnosticsHub Reports",454915451,"433.84 MB",194.3,3,"2025-11-13 12:04:29","C:\Users\V_JINWKIM\AppData\Local\Temp\dh\Report.3FDDB230-652C-4B3D-9B87-4F1CE1BB12DC","Visual Studio Diagnostics Hub report folders. Old profiling sessions can be removed.","Delete after confirming no active Visual Studio profiling session.","Rule"
"DeleteWhenAppClosed","SafeIfClosed","Temp","User Temp Items",454027193,"432.99 MB",34.5,6,"2026-04-22 06:44:50","C:\Users\V_JINWKIM\AppData\Local\Temp\IDE","General user temp files. Delete only after related apps are closed.","","Rule"
"DeleteWhenAppClosed","SafeIfClosed","Temp","User Temp Items",415083111,"395.85 MB",34.5,510,"2026-04-22 06:47:49","C:\Users\V_JINWKIM\AppData\Local\Temp\MMC","General user temp files. Delete only after related apps are closed.","","Rule"
"Review","Review","TopLevelDiscovery","(discovery)",396846041,"378.46 MB",42.4,3,"2026-04-14 07:50:46","C:\Users\V_JINWKIM\AppData\Local\canva-updater","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"Watch","Review","TopLevelDiscovery","(discovery)",327528661,"312.36 MB",20.2,7071,"2026-05-06 13:26:57","C:\Users\V_JINWKIM\AppData\Local\flutter_webview_windows","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"Review","Review","TopLevelDiscovery","(discovery)",295530200,"281.84 MB",42.3,1,"2026-04-14 10:22:07","C:\Users\V_JINWKIM\AppData\Local\obsidian-updater","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
"Watch","Review","TopLevelDiscovery","(discovery)",278997840,"266.07 MB",0.0,15,"2026-05-26 17:42:49","C:\Users\V_JINWKIM\AppData\Local\VmsPwDesktop","Top-level directory discovery item. Verify app ownership before deletion.","Manual review only","Discovery"
